[2025-04-12 15:14:39] Микрофон 0: Microphone (2- Vault)
[2025-04-12 15:14:39] Микрофон 1: Microphone (Vault)
[2025-04-12 15:14:39] [StartConnectionAsync] Подключение установлено. UserID: 4
[2025-04-12 15:14:44] [StartCallAsync] Начало вызова. Комната: 55, Caller: 4, Участники: 2
[2025-04-12 15:14:44] [VoiceClient] Запуск записи...
[2025-04-12 15:14:44] [StartRecording] Запуск записи...
[2025-04-12 15:14:44] [StartRecording] Запись началась!
[2025-04-12 15:14:44] [VoiceClient] Запись запущена.
[2025-04-12 15:14:44] [OnAudioData] Отправка 6404 байт с Id 4 на 147.45.175.135:5005
[2025-04-12 15:14:44] [VoiceReceiver] Получил свой реальный UDP-порт от сервера: 43494
[2025-04-12 15:14:44] [VoiceReceiver] Получил свой реальный UDP-порт от сервера: 43494
[2025-04-12 15:14:44] [OnAudioData] Отправка 6404 байт с Id 4 на 147.45.175.135:5005
[2025-04-12 15:14:44] [OnAudioData] Отправка 6404 байт с Id 4 на 147.45.175.135:5005
[2025-04-12 15:14:44] [OnAudioData] Отправка 6404 байт с Id 4 на 147.45.175.135:5005
[2025-04-12 15:14:44] [OnAudioData] Отправка 6404 байт с Id 4 на 147.45.175.135:5005
[2025-04-12 15:14:44] [OnAudioData] Отправка 6404 байт с Id 4 на 147.45.175.135:5005
[2025-04-12 15:14:44] [OnAudioData] Отправка 6404 байт с Id 4 на 147.45.175.135:5005
[2025-04-12 15:14:44] [OnAudioData] Отправка 6404 байт с Id 4 на 147.45.175.135:5005
[2025-04-12 15:14:45] [OnAudioData] Отправка 6404 байт с Id 4 на 147.45.175.135:5005
[2025-04-12 15:14:45] [OnAudioData] Отправка 6404 байт с Id 4 на 147.45.175.135:5005
[2025-04-12 15:14:45] [OnAudioData] Отправка 6404 байт с Id 4 на 147.45.175.135:5005
[2025-04-12 15:14:45] [OnAudioData] Отправка 6404 байт с Id 4 на 147.45.175.135:5005
[2025-04-12 15:14:45] [OnAudioData] Отправка 6404 байт с Id 4 на 147.45.175.135:5005
[2025-04-12 15:14:45] [OnAudioData] Отправка 6404 байт с Id 4 на 147.45.175.135:5005
[2025-04-12 15:14:45] [OnAudioData] Отправка 6404 байт с Id 4 на 147.45.175.135:5005
[2025-04-12 15:14:45] [OnAudioData] Отправка 6404 байт с Id 4 на 147.45.175.135:5005
[2025-04-12 15:14:45] [OnAudioData] Отправка 6404 байт с Id 4 на 147.45.175.135:5005
[2025-04-12 15:14:45] [OnAudioData] Отправка 6404 байт с Id 4 на 147.45.175.135:5005
[2025-04-12 15:14:46] [OnAudioData] Отправка 6404 байт с Id 4 на 147.45.175.135:5005
[2025-04-12 15:14:46] [OnAudioData] Отправка 6404 байт с Id 4 на 147.45.175.135:5005
[2025-04-12 15:14:46] [UserJoinedCall] User 2 подключился в комнату с 55
[2025-04-12 15:14:46] [OnAudioData] Отправка 6404 байт с Id 4 на 147.45.175.135:5005
[2025-04-12 15:14:46] [OnAudioData] Отправка 6404 байт с Id 4 на 147.45.175.135:5005
[2025-04-12 15:14:46] [OnAudioData] Отправка 6404 байт с Id 4 на 147.45.175.135:5005
[2025-04-12 15:14:46] [OnAudioData] Отправка 6404 байт с Id 4 на 147.45.175.135:5005
[2025-04-12 15:14:46] [OnAudioData] Отправка 6404 байт с Id 4 на 147.45.175.135:5005
[2025-04-12 15:14:46] [OnAudioData] Отправка 6404 байт с Id 4 на 147.45.175.135:5005
[2025-04-12 15:14:46] [OnAudioData] Отправка 6404 байт с Id 4 на 147.45.175.135:5005
[2025-04-12 15:14:46] [OnAudioData] Отправка 6404 байт с Id 4 на 147.45.175.135:5005
[2025-04-12 15:14:47] [OnAudioData] Отправка 6404 байт с Id 4 на 147.45.175.135:5005
[2025-04-12 15:14:47] [OnAudioData] Отправка 6404 байт с Id 4 на 147.45.175.135:5005
[2025-04-12 15:14:47] [OnAudioData] Отправка 6404 байт с Id 4 на 147.45.175.135:5005
[2025-04-12 15:14:47] [OnAudioData] Отправка 6404 байт с Id 4 на 147.45.175.135:5005
[2025-04-12 15:14:47] [OnAudioData] Отправка 6404 байт с Id 4 на 147.45.175.135:5005
[2025-04-12 15:14:47] [OnAudioData] Отправка 6404 байт с Id 4 на 147.45.175.135:5005
[2025-04-12 15:14:47] [OnAudioData] Отправка 6404 байт с Id 4 на 147.45.175.135:5005
[2025-04-12 15:14:47] [OnAudioData] Отправка 6404 байт с Id 4 на 147.45.175.135:5005
[2025-04-12 15:14:47] [OnAudioData] Отправка 6404 байт с Id 4 на 147.45.175.135:5005
[2025-04-12 15:14:48] [OnAudioData] Отправка 6404 байт с Id 4 на 147.45.175.135:5005
